"Freq [GHz]","dB(S(WavePort1,WavePort1)) [] - split1x='25mm' split2x='10mm'","dB(S(WavePort1,WavePort1)) [] - split1x='25mm' split2x='11mm'","dB(S(WavePort1,WavePort1)) [] - split1x='25mm' split2x='12mm'","dB(S(WavePort1,WavePort1)) [] - split1x='25mm' split2x='13mm'","dB(S(WavePort1,WavePort1)) [] - split1x='25mm' split2x='14mm'","dB(S(WavePort1,WavePort1)) [] - split1x='25mm' split2x='15mm'"
1.067,-3.37381116400054,-5.47942735758746,-2.45647705888063,-8.5799402174016,-3.31780381741474,-2.26942889362291
1.068,-3.41081834824568,-5.54144183889247,-2.45880822723663,-8.47021253075266,-3.21337060966626,-2.25925622021246
1.069,-3.44830482455086,-5.60367314013311,-2.46113798139079,-8.35964627893408,-3.11384568345249,-2.24916726749707
1.07,-3.48627209642924,-5.66607557099657,-2.46346620310024,-8.24846677983486,-3.0189432126878,-2.23916158295347
1.071,-3.524721292833,-5.72860025895517,-2.46579277300369,-8.13688397033388,-2.92839681299195,-2.22923871436489
1.072,-3.56365313982847,-5.79119505015843,-2.46811757062808,-8.02509267559215,-2.84195804608268,-2.21939820994425
1.073,-3.60306793080668,-5.85380441785781,-2.47044047439589,-7.91327299877932,-2.75939505296594,-2.20963961845348
1.074,-3.64296549518355,-5.91636938009612,-2.47276136163308,-7.80159080594524,-2.68049130344444,-2.19996248931895
1.075,-3.68334516554555,-5.97882742855056,-2.47508010857767,-7.69019828351112,-2.60504445083945,-2.19036637274338
1.076,-3.72420574320016,-6.0411124705743,-2.477396590389,-7.57923454863436,-2.53286528202032,-2.18085081981405
1.077,-3.76554546209237,-6.10315478663106,-2.47971068115759,-7.46882629540479,-2.46377675389436,-2.17141538260757
1.078,-3.80736195105366,-6.16488100545678,-2.48202225391581,-7.35908846238329,-2.39761310843567,-2.16205961429124
1.079,-3.84965219435358,-6.22621409940671,-2.48433118064917,-7.25012490935593,-2.33421905914959,-2.15278306922115
1.08,-3.89241249053067,-6.28707340254981,-2.48663733230841,-7.14202909331823,-2.27344904259034,-2.14358530303694
1.081,-3.93563840948541,-6.34737465414754,-2.48894057882231,-7.03488473561644,-2.21516652918737,-2.13446587275359
1.082,-3.97932474782637,-6.40703007019567,-2.49124078911128,-6.92876647385347,-2.15924338820149,-2.12542433685008
1.083,-4.02346548246933,-6.46594844570614,-2.49353783110172,-6.82374049362629,-2.10555930213426,-2.11646025535503
1.084,-4.06805372250016,-6.52403529035403,-2.49583157174127,-6.71986513641081,-2.05400122636122,-2.10757318992958
1.085,-4.11308165932363,-6.58119300000507,-2.49812187701476,-6.61719148096867,-2.00446289015921,-2.09876270394741
1.086,-4.15854051513457,-6.63732106646106,-2.50040861196116,-6.51576389653342,-1.95684433565433,-2.09002836257201
1.087,-4.20442048976292,-6.6923163275106,-2.5026916406913,-6.41562056676354,-1.91105149153726,-2.0813697328313
1.088,-4.25071070596144,-6.74607325903926,-2.50497082640652,-6.31679398404371,-1.86699577867962,-2.07278638368979
1.089,-4.29739915322474,-6.79848431053478,-2.50724603141823,-6.21931141419115,-1.82459374504274,-2.06427788611806
1.09,-4.34447263024926,-6.84944028481464,-2.50951711716839,-6.12319533200018,-1.78376672750317,-2.05584381315997
1.091,-4.39191668616869,-6.89883076220264,-2.51178394425101,-6.02846382834614,-1.74444053842823,-2.04748373999739
1.092,-4.43971556072479,-6.94654456869177,-2.51404637243453,-5.9351309897886,-1.70654517502475,-2.03919724401275
1.093,-4.48785212356339,-6.99247028685699,-2.51630426068528,-5.84320725176977,-1.67001454965527,-2.03098390484925
1.094,-4.53630781287702,-7.03649680743167,-2.51855746719192,-5.7526997266125,-1.63478623947079,-2.02284330446901
1.095,-4.58506257364965,-7.07851391854996,-2.52080584939096,-5.66361250758972,-1.60080125385022,-2.01477502720908
1.096,-4.63409479579717,-7.11841292870235,-2.52304926399331,-5.57594695037142,-1.5680038182639,-2.0067786598354
1.097,-4.68338125253678,-7.1560873184719,-2.5252875670119,-5.48970193316563,-1.53634117329501,-1.99885379159486
1.098,-4.73289703936218,-7.19143341514626,-2.52752061379052,-5.4048740968572,-1.50576338765745,-1.99100001426532
1.099,-4.78261551404646,-7.22435108335776,-2.52974825903364,-5.32145806642301,-1.47622318414567,-1.98321692220394
1.1,-4.83250823814385,-7.25474442403159,-2.5319703568375,-5.23944665486292,-1.44767577753857,-1.97550411239359
1.101,-4.88254492051145,-7.28252247314757,-2.53418676072235,-5.15883105083911,-1.42007872355985,-1.96786118448756
1.102,-4.93269336342536,-7.307599891182,-2.53639732366584,-5.07960099116464,-1.39339177806979,-1.96028774085259
1.103,-4.98291941191986,-7.32989763362738,-2.53860189813772,-5.00174491922426,-1.36757676572977,-1.95278338661027
1.104,-5.0331869070338,-7.34934359271478,-2.54080033613571,-4.92525013035343,-1.34259745744184,-1.94534772967684
1.105,-5.08345764370452,-7.36587320041646,-2.54299248922271,-4.85010290514128,-1.31841945592076,-1.93798038080151
1.106,-5.133691334105,-7.37942998300078,-2.54517820856522,-4.77628863156468,-1.2950100888071,-1.93068095360321
1.107,-5.18384557727474,-7.38996605785745,-2.54735734497313,-4.70379191680293,-1.27233830877611,-1.92344906460599
1.108,-5.23387583594637,-7.39744256401335,-2.54952974894086,-4.63259668952552,-1.25037460014003,-1.91628433327306
1.109,-5.28373542151888,-7.40183001870389,-2.55169527068983,-4.56268629339239,-1.22909089148007,-1.90918638203934
1.11,-5.33337548817121,-7.40310859353591,-2.55385376021229,-4.49404357245315,-1.20846047388056,-1.90215483634294
1.111,-5.38274503714677,-7.40126830514693,-2.55600506731661,-4.42665094908344,-1.18845792437016,-1.89518932465518
1.112,-5.43179093226737,-7.39630911678861,-2.55814904167397,-4.36049049504943,-1.16905903420549,-1.88828947850958
1.113,-5.48045792775312,-7.38824094890318,-2.56028553286651,-4.29554399624784,-1.15024074165988,-1.88145493252956
1.114,-5.5286887094296,-7.37708359845889,-2.56241439043691,-4.23179301162788,-1.13198106900574,-1.87468532445512
1.115,-5.57642395039466,-7.36286656851895,-2.56453546393953,-4.16921892676251,-1.11425906340211,-1.86798029516836
1.116,-5.62360238219079,-7.34562881117896,-2.566648602993,-4.10780300250109,-1.09705474142051,-1.86133948871801
1.117,-5.67016088248391,-7.32541838856887,-2.56875365733439,-4.04752641910174,-1.08034903696218,-1.85476255234295
1.118,-5.71603458018308,-7.3022920580328,-2.57085047687495,-3.98837031621047,-1.06412375233777,-1.84824913649476
1.119,-5.7611569788454,-7.27631478882775,-2.57293891175733,-3.93031582902611,-1.04836151229738,-1.84179889485937
1.12,-5.80546009909645,-7.24755921869493,-2.57501881241453,-3.87334412096221,-1.03304572081436,-1.83541148437773
1.121,-5.84887464065436,-7.21610505942696,-2.57709002963035,-3.81743641309369,-1.01816052044058,-1.8290865652658
1.122,-5.89133016437741,-7.18203846107255,-2.57915241460157,-3.76257401065221,-1.00369075406377,-1.82282380103352
1.123,-5.93275529455728,-7.14545134468464,-2.58120581900172,-3.70873832681373,-0.989621928909849,-1.81662285850313
1.124,-5.9730779414549,-7.10644071353628,-2.58325009504655,-3.65591090400221,-0.975940182644437,-1.8104834078267
1.125,-6.01222554382376,-7.06510795251483,-2.58528509556116,-3.60407343291543,-0.962632251437771,-1.80440512250292
1.126,-6.05012533088677,-7.02155812499031,-2.58731067404892,-3.5532077694626,-0.949685439867095,-1.79838767939323
1.127,-6.08670460293268,-6.97589927585515,-2.58932668476199,-3.50329594978796,-0.937087592539237,-1.79243075873724
1.128,-6.1218910293775,-6.92824174869467,-2.5913329827737,-3.45432020354112,-0.92482706732432,-1.7865340441676
1.129,-6.15561296280266,-6.87869752419678,-2.59332942405261,-3.4062629655414,-0.912892710099081,-1.78069722272424
1.13,-6.18779976713815,-6.82737958598223,-2.59531586553837,-3.35910688597221,-0.901273830905255,-1.77491998486796
1.131,-6.21838215781501,-6.77440131906843,-2.59729216521935,-3.31283483923021,-0.889960181434971,-1.76920202449362
1.132,-6.24729255137236,-6.71987594519873,-2.59925818221207,-3.26742993154421,-0.878941933761049,-1.76354303894271
1.133,-6.27446542168044,-6.663915998303,-2.60121377684248,-3.2228755074696,-0.868209660235714,-1.75794272901547
1.134,-6.29983765964054,-6.60663284242857,-2.60315881072896,-3.17915515535538,-0.857754314486283,-1.75240079898253
1.135,-6.32334893295488,-6.5481362336114,-2.60509314686728,-3.13625271187346,-0.847567213441305,-1.74691695659619
1.136,-6.34494204233444,-6.48853392635902,-2.60701664971727,-3.09415226569251,-0.837640020324864,-1.74149091310114
1.137,-6.36456327033846,-6.42793132470312,-2.60892918529145,-3.05283816037206,-0.827964728561085,-1.73612238324497
1.138,-6.38216271892496,-6.36643117715192,-2.61083062124544,-3.01229499654647,-0.818533646534501,-1.73081108528819
1.139,-6.39769463174389,-6.30413331433778,-2.61272082697024,-2.97250763346327,-0.809339383155623,-1.72555674101398
1.14,-6.41111769722975,-6.24113442771058,-2.61459967368645,-2.93346118993438,-0.800374834184318,-1.72035907573757
1.141,-6.42239532865184,-6.17752788727002,-2.61646703454022,-2.89514104475492,-0.791633169266554,-1.71521781831543
1.142,-6.4314959174606,-6.11340359605698,-2.61832278470121,-2.85753283663927,-0.783107819643123,-1.71013270115407
1.143,-6.43839305652652,-6.04884787892478,-2.62016680146233,-2.82062246372057,-0.774792466491435,-1.70510346021869
1.144,-6.44306573020175,-5.98394340298318,-2.6219989643414,-2.78439608265588,-0.766681029864,-1.70012983504153
1.145,-6.44549846853801,-5.91876912703993,-2.62381915518469,-2.74884010737571,-0.758767658189551,-1.6952115687301
1.146,-6.44568146346008,-5.8534002773488,-2.62562725827223,-2.71394120751399,-0.751046718304817,-1.69034840797513
1.147,-6.44361064521281,-5.78790834700366,-2.62742316042513,-2.67968630655115,-0.743512785987026,-1.68554010305847
1.148,-6.43928771795824,-5.72236111638318,-2.62920675111463,-2.64606257970072,-0.736160636959084,-1.68078640786074
1.149,-6.4327201539867,-5.65682269214748,-2.63097792257309,-2.61305745156703,-0.728985238340982,-1.6760870798689
1.15,-6.42392114660496,-5.5913535624067,-2.63273656990672,-2.58065859359983,-0.72198174052282,-1.67144188018379
1.151,-6.41290952236392,-5.52601066581681,-2.63448259121025,-2.5488539213691,-0.715145469436091,-1.66685057352742
1.152,-6.39970961386969,-5.4608474725056,-2.6362158876833,-2.51763159168167,-0.708471919201539,-1.66231292825038
1.153,-6.38435109497517,-5.39591407488581,-2.63793636374867,-2.4869799995595,-0.70195674513299,-1.65782871633906
1.154,-6.36686878065712,-5.3312572865698,-2.63964392717227,-2.45688777509762,-0.695595757077969,-1.65339771342291
1.155,-6.34730239433928,-5.26692074775751,-2.64133848918497,-2.42734378021856,-0.689384913076918,-1.6490196987817
1.156,-6.32569630581107,-5.20294503562365,-2.64301996460605,-2.39833710533842,-0.68332031332402,-1.64469445535271
1.157,-6.30209924321194,-5.13936777838028,-2.64468827196846,-2.36985706595859,-0.677398194413602,-1.64042176973805
1.158,-6.27656398279322,-5.07622377183356,-2.64634333364575,-2.34189319919592,-0.671614923856976,-1.63620143221194
1.159,-6.2491470203348,-5.01354509739011,-2.64798507598066,-2.31443526026308,-0.665966994855572,-1.63203323672805
1.16,-6.21990822817949,-4.95136124059467,-2.64961342941535,-2.28747321890974,-0.660451021316913,-1.62791698092697
1.161,-6.18891050185873,-4.88969920940055,-2.65122832862328,-2.26099725583437,-0.65506373310088,-1.62385246614375
1.162,-6.15621940022146,-4.82858365148257,-2.65282971264258,-2.23499775907563,-0.649801971484335,-1.61983949741548
1.163,-6.12190278285068,-4.76803697000391,-2.65441752501106,-2.20946532039134,-0.644662684832937,-1.61587788348909
1.164,-6.08603044836763,-4.70807943733849,-2.65599171390264,-2.18439073163252,-0.639642924469513,-1.61196743682923
1.165,-6.04867377698794,-4.64872930633419,-2.65755223226528,-2.15976498111914,-0.634739840729105,-1.60810797362634
1.166,-6.009905380419,-4.5900029187762,-2.65909903796036,-2.13557925002373,-0.629950679191213,-1.60429931380481
1.167,-5.96979876188152,-4.53191481077653,-2.66063209390336,-2.11182490876828,-0.625272777080348,-1.60054128103146
1.168,-5.92842798870934,-4.47447781487497,-2.66215136820592,-2.08849351343944,-0.620703559826554,-1.59683370272409
1.169,-5.88586737964079,-4.41770315868912,-2.66365683431917,-2.06557680222656,-0.616240537777928,-1.59317641006032
1.17,-5.84219120856928,-4.36160055999669,-2.66514847117832,-2.04306669188645,-0.611881303057666,-1.58956923798663
1.171,-5.79747342617782,-4.30617831817421,-2.66662626334828,-2.0209552742387,-0.607623526558541,-1.58601202522767
1.172,-5.75178740055008,-4.25144340195024,-2.66809020117063,-1.99923481269454,-0.603464955068156,-1.58250461429579
1.173,-5.70520567753255,-4.1974015334617,-2.66954028091141,-1.97789773882235,-0.599403408518579,-1.57904685150089
1.174,-5.65779976132525,-4.14405726862737,-2.67097650491004,-1.95693664895219,-0.595436777354441,-1.57563858696052
1.175,-5.60963991550423,-4.09141407387412,-2.67239888172915,-1.93634430082169,-0.59156302001376,-1.57227967461034
