"Freq [GHz]","dB(S(WavePort1,WavePort1)) [] - split1x='16mm' split2x='15mm'","dB(S(WavePort1,WavePort1)) [] - split1x='17mm' split2x='15mm'","dB(S(WavePort1,WavePort1)) [] - split1x='18mm' split2x='15mm'","dB(S(WavePort1,WavePort1)) [] - split1x='19mm' split2x='15mm'","dB(S(WavePort1,WavePort1)) [] - split1x='20mm' split2x='15mm'","dB(S(WavePort1,WavePort1)) [] - split1x='21mm' split2x='15mm'","dB(S(WavePort1,WavePort1)) [] - split1x='22mm' split2x='15mm'","dB(S(WavePort1,WavePort1)) [] - split1x='23mm' split2x='15mm'","dB(S(WavePort1,WavePort1)) [] - split1x='24mm' split2x='15mm'","dB(S(WavePort1,WavePort1)) [] - split1x='25mm' split2x='15mm'"
1.026,-4.00299907432026,-5.06751295362964,-3.07370311096381,-2.40281551088886,-1.71639714430948,-3.00558636659932,-3.74048146263896,-4.1642884113983,-2.95715861577945,-2.76402440666928
1.027,-4.15720712409717,-4.89513965442,-2.99349809130324,-2.34824599804065,-1.70953556635057,-2.99867106052467,-3.72232414609183,-3.99884156315761,-2.87216261131452,-2.75004829634905
1.028,-4.32294706363986,-4.73076496827348,-2.91624902036364,-2.2954893033393,-1.70273749618939,-2.99170752852652,-3.70412456314661,-3.84301740873818,-2.78999116563919,-2.73617253701224
1.029,-4.50111914760561,-4.57392473827079,-2.8418215750093,-2.24447087116336,-1.69600237581099,-2.98469648657679,-3.68588668318928,-3.69612013850589,-2.71055838496724,-2.72239683348436
1.03,-4.69271545381066,-4.42418862562367,-2.77008864832137,-2.19511975334118,-1.68932965303453,-2.97763865559863,-3.6676144173841,-3.55751339052889,-2.63377833048987,-2.70872088100173
1.031,-4.89883084560423,-4.28115692606214,-2.70092989564574,-2.14736840938634,-1.68271878147784,-2.97053476125615,-3.64931161766569,-3.42661430194631,-2.55956549587461,-2.69514436560455
1.032,-5.12067565530238,-4.14445777275246,-2.63423131467284,-2.10115251934808,-1.67616922052132,-2.96338553374375,-3.63098207581727,-3.30288827117574,-2.48783520443996,-2.6816669645203
1.033,-5.35959042623865,-4.01374466830765,-2.56988485643189,-2.05641080835296,-1.66968043527131,-2.95619170757531,-3.61262952263295,-3.18584432743216,-2.41850393672659,-2.66828834653766
1.034,-5.61706312361592,-3.88869429826442,-2.50778806443118,-2.01308488199447,-1.66325189652291,-2.94895402137321,-3.59425762716228,-3.07503102219517,-2.35148959788485,-2.65500817237104
1.035,-5.89474930827671,-3.7690045863621,-2.44784373947961,-1.97111907179981,-1.65688308072231,-2.94167321765733,-3.57586999603486,-2.97003277176306,-2.28671173314137,-2.64182609501603
1.036,-6.1944958593117,-3.65439295844594,-2.38995962798716,-1.93046029006715,-1.65057346992866,-2.93435004263427,-3.55747017286309,-2.87046659166446,-2.22409169857748,-2.62874176009581
1.037,-6.51836892111396,-3.54459478713061,-2.33404813177368,-1.89105789342518,-1.64432255177556,-2.92698524598673,-3.53906163772089,-2.77597917310397,-2.1635527935446,-2.61575480619876
1.038,-6.86868681490422,-3.43936199372483,-2.28002603761572,-1.85286355451916,-1.63812981943216,-2.91957958066331,-3.52064780669616,-2.68624425925943,-2.10502036023662,-2.60286486520743
1.039,-7.2480586443105,-3.33846178752178,-2.22781426493874,-1.81583114127481,-1.63199477156395,-2.91213380266868,-3.5022320315149,-2.6009602855004,-2.04842185523323,-2.590071562619
1.04,-7.65942913727571,-3.24167552554508,-2.1773376302171,-1.77991660323451,-1.62591691229319,-2.90464867085448,-3.48381759923461,-2.51984825275078,-1.99368689720471,-2.57737451785746
1.041,-8.1061296960045,-3.14879767832316,-2.12852462678262,-1.74507786449926,-1.61989575115918,-2.89712494671077,-3.46540773200499,-2.44264980748502,-1.94074729442333,-2.56477334457764
1.042,-8.59193425728538,-3.05963488933413,-2.08130721886277,-1.71127472284462,-1.61393080307819,-2.88956339415836,-3.44700558689332,-2.36912550540965,-1.88953705524594,-2.5522676509612
1.043,-9.12111555803115,-2.97400511750043,-2.03562064877904,-1.67846875461208,-1.60802158830328,-2.88196477934197,-3.42861425577259,-2.2990532388734,-1.83999238431388,-2.53985704000486
1.044,-9.69849104763046,-2.8917368535672,-1.9914032563307,-1.64662322500539,-1.60216763238385,-2.87432987042451,-3.41023676526993,-2.23222681057153,-1.79205166684731,-2.5275411098009
1.045,-10.3294344813863,-2.81266840242874,-1.94859630947587,-1.61570300344992,-1.59636846612515,-2.86665943738233,-3.39187607677312,-2.16845463825875,-1.74565544309079,-2.51531945381026
1.046,-11.0198018960899,-2.73664722450556,-1.90714384549777,-1.58567448369562,-1.59062362554759,-2.85895425180178,-3.37353508649291,-2.10755857701614,-1.70074637468568,-2.50319166112813
1.047,-11.7756640810685,-2.66352933015686,-1.86699252191334,-1.55650550836888,-1.58493265184601,-2.85121508667702,-3.35521662557896,-2.04937284719273,-1.65726920449953,-2.49115731674251
1.048,-12.6026206602918,-2.5931787218633,-1.82809147644231,-1.5281652976975,-1.57929509134884,-2.84344271620924,-3.33692346028702,-1.99374305750054,-1.61517071122917,-2.4792160017856
1.049,-13.5042320834624,-2.5254668795575,-1.79039219541157,-1.50062438215325,-1.57371049547728,-2.83563791560741,-3.3186582921954,-1.94052531392127,-1.57439965990752,-2.46736729377839
1.05,-14.4786396314611,-2.46027228502737,-1.75384839001858,-1.47385453877315,-1.56817842070434,-2.82780146089053,-3.30042375846819,-1.88958540610665,-1.53490674928143,-2.45561076686846
1.051,-15.5116467299368,-2.3974799817915,-1.71841587992428,-1.44782873093759,-1.56269842851407,-2.8199341286916,-3.28222243216344,-1.84079806385393,-1.4966445568873,-2.44394599206121
1.052,-16.5637066655039,-2.33698116725178,-1.68405248368602,-1.42252105139751,-1.55727008536057,-2.81203669606343,-3.26405682258386,-1.79404627702183,-1.45956748252706,-2.4323725374446
1.053,-17.5497812013442,-2.27867281428205,-1.65071791557923,-1.39790666835725,-1.55189296262728,-2.80410994028606,-3.24592937566813,-1.74922067294722,-1.4236316907416,-2.42088996840768
1.054,-18.3227363656163,-2.2224573197167,-1.61837368839025,-1.37396177443232,-1.54656663658615,-2.79615463867634,-3.22784247442065,-1.70621894603274,-1.3887950527848,-2.40949784785281
1.055,-18.6987532441132,-2.16824217747012,-1.5869830217937,-1.35066353831281,-1.54129068835698,-2.78817156839943,-3.2097984393778,-1.6649453347164,-1.35501708852191,-2.39819573640206
1.056,-18.5599274319467,-2.11593967425015,-1.55651075595642,-1.32799005897446,-1.53606470386681,-2.78016150628224,-3.19179952910856,-1.62531014151551,-1.32225890860545,-2.38698319259747
1.057,-17.952591869147,-2.06546660603341,-1.52692327003571,-1.30592032228969,-1.53088827380946,-2.77212522862927,-3.17384794074782,-1.58722929226319,-1.29048315722263,-2.37585977309582
1.058,-17.0459528543492,-2.0167440136485,-1.49818840526341,-1.28443415989966,-1.52576099360512,-2.76406351104039,-3.15594581056006,-1.55062393103622,-1.25965395565501,-2.36482503285758
1.059,-16.012037949622,-1.96969693597257,-1.47027539232928,-1.26351221021818,-1.52068246336022,-2.75597712823119,-3.13809521453204,-1.51542004761362,-1.22973684684754,-2.35387852533048
1.06,-14.9641182945024,-1.92425417938513,-1.44315478279702,-1.24313588144529,-1.51565228782727,-2.74786685385538,-3.12029816899219,-1.48154813460738,-1.20069874114448,-2.34301980262771
1.061,-13.9601778219429,-1.88034810224838,-1.41679838430488,-1.22328731647719,-1.510670076365,-2.73973346032992,-3.10255663125533,-1.4489428716806,-1.17250786331718,-2.33224841570082
1.062,-13.0241342003442,-1.83791441329234,-1.39117919931959,-1.20394935960499,-1.50573544289867,-2.73157771866231,-3.08487250029074,-1.41754283451048,-1.14513370097978,-2.32156391450763
1.063,-12.1623991263223,-1.79689198288256,-1.36627136722835,-1.18510552490236,-1.50084800588048,-2.72340039828068,-3.06724761741204,-1.387290226374,-1.11854695446517,-2.31096584817503
1.064,-11.373315060454,-1.75722266623573,-1.34205010956761,-1.16673996620777,-1.49600738825027,-2.71520226686628,-3.0496837669872,-1.35813063043058,-1.09271948821225,-2.30045376515703
1.065,-10.6519173505767,-1.71885113772724,-1.31849167820131,-1.14883744861281,-1.49121321739643,-2.70698409018873,-3.03218267716711,-1.33001278095245,-1.0676242836983,-2.29002721338796
